mes,canal,consultas_calificadas,reservas,pacientes_asistidos,horas_vacias_ocupadas,gasto_publicitario_clp,costo_por_paciente_asistido_clp
,instagram,,,,,,
,google,,,,,,
,pendon,,,,,,
,medicina_general,,,,,,
,direct,,,,,,
